,Date,Crimes
310,2012-11-06,872.2187818523462
311,2012-11-07,873.2096310222028
312,2012-11-08,869.185236358677
313,2012-11-09,865.3869623320854
314,2012-11-10,865.6117239348398
315,2012-11-11,863.5103852861728
316,2012-11-12,863.4252191442442
317,2012-11-13,864.9998187954254
318,2012-11-14,868.0428322272134
319,2012-11-15,869.0165802169752
320,2012-11-16,869.8561009309211
321,2012-11-17,865.680762871169
322,2012-11-18,866.0349271784014
323,2012-11-19,866.2855557317093
324,2012-11-20,864.9675870347968
325,2012-11-21,868.8843914924287
326,2012-11-22,868.5693900201417
327,2012-11-23,866.3288636209029
328,2012-11-24,863.246075788789
329,2012-11-25,862.4456499580792
330,2012-11-26,865.4178350585344
331,2012-11-27,873.2527124056996
332,2012-11-28,876.4202360189186
333,2012-11-29,876.7307073772731
334,2012-11-30,878.6297084871511
335,2012-12-01,880.4521280210023
336,2012-12-02,876.2630863666047
337,2012-12-03,869.1631747038266
338,2012-12-04,862.9003374934708
339,2012-12-05,864.0086525175936
340,2012-12-06,863.6498221930109
341,2012-12-07,845.5280980316486
342,2012-12-08,842.3822510135961
343,2012-12-09,838.7759179143188
344,2012-12-10,832.915105664891
345,2012-12-11,832.6343518539326
346,2012-12-12,834.9160116876774
347,2012-12-13,831.6896645450466
348,2012-12-14,829.542231987118
349,2012-12-15,824.3249903734915
350,2012-12-16,822.5159573263104
351,2012-12-17,818.7797685111618
352,2012-12-18,812.2472083172731
353,2012-12-19,809.9093071190581
354,2012-12-20,807.457201748608
355,2012-12-21,801.2032435615597
356,2012-12-22,794.7641169675259
357,2012-12-23,787.9880631497725
358,2012-12-24,780.8172778545226
359,2012-12-25,777.3572900858302
360,2012-12-26,782.4461256200437
361,2012-12-27,790.152868694632
362,2012-12-28,791.1130716437362
363,2012-12-29,791.7106389725544
364,2012-12-30,790.6944211646766
365,2012-12-31,789.8069944958959
366,2013-01-01,790.5867177059347
367,2013-01-02,794.8698724772771
368,2013-01-03,789.9207456567377
369,2013-01-04,784.9145167500806
370,2013-01-05,784.5201929828379
371,2013-01-06,786.5664907472266
372,2013-01-07,787.9140410881178
373,2013-01-08,790.6512038777619
374,2013-01-09,801.7004009150671
375,2013-01-10,805.7878094633919
376,2013-01-11,806.0202043081224
377,2013-01-12,806.464631135457
378,2013-01-13,809.998391809538
379,2013-01-14,812.7644340755007
380,2013-01-15,815.1195950077982
381,2013-01-16,817.1893361117869
382,2013-01-17,817.6075335794534
383,2013-01-18,817.8998391809392
384,2013-01-19,814.2658044349654
385,2013-01-20,807.3832702892317
386,2013-01-21,797.0098756483567
387,2013-01-22,794.7342182155724
388,2013-01-23,796.6074429771751
389,2013-01-24,794.9477224852047
390,2013-01-25,790.0321411583344
391,2013-01-26,784.8455231148909
392,2013-01-27,797.4962739812747
393,2013-01-28,795.0440100568371
394,2013-01-29,794.6636616910757
395,2013-01-30,797.3290674760312
396,2013-01-31,795.1214297039412
397,2013-02-01,792.0976692563661
398,2013-02-02,787.7843665768038
399,2013-02-03,782.3532582844302
400,2013-02-04,776.241228566883
401,2013-02-05,776.622482955431
402,2013-02-06,780.4640195700767
403,2013-02-07,777.3653763391994
404,2013-02-08,775.7789077895154
405,2013-02-09,773.5861967428328
406,2013-02-10,771.0931164918644
407,2013-02-11,767.6213504269481
408,2013-02-12,766.657319531571
409,2013-02-13,772.817662914207
410,2013-02-14,774.5916102289818
411,2013-02-15,770.3487281704981
412,2013-02-16,765.6989512786095
413,2013-02-17,760.966567759164
414,2013-02-18,758.4586740356369
415,2013-02-19,759.9864549593271
416,2013-02-20,762.4391265940187
417,2013-02-21,763.5437495752867
418,2013-02-22,762.3581734580472
419,2013-02-23,766.6726992683713
420,2013-02-24,772.5480984846618
421,2013-02-25,774.6164126027616
422,2013-02-26,776.4305646786862
423,2013-02-27,781.8878570295886
424,2013-02-28,784.3059638949765
425,2013-03-01,781.1228340392605
426,2013-03-02,781.1188022378608
427,2013-03-03,781.210695598979
428,2013-03-04,781.7452490429978
429,2013-03-05,780.6779315499629
430,2013-03-06,784.6211465718206
431,2013-03-07,783.4806903893477
432,2013-03-08,784.70558789552
433,2013-03-09,786.2659403383839
434,2013-03-10,785.7976851117651
435,2013-03-11,789.2880925955131
